mc_CRY-chi-1-all,mc_CRY-Z-3-all,mc_CRY-S-2-all,sum-D_mc_CRY-chi-3-all,func-alpha-2-all,f-lig-T-2,MPC,logKH_CH4,CH4DC,temperature,time
33.5744,11616.0,13.6272,-92.32,296.33,1920.0,1.556,-4.019032701,1.139377928,200.0,240.0
24.624,2755.0,6.3204,-74.08,588.2933333,1038.0,0.904,-5.0474904,81.68650536,140.0,5.0
34.2912,2160.0,11.592,-32.82,249.38,454.0,1.122,-5.059806866,54.3202884,130.0,24.0
22.044,1680.0,5.0435,-87.76,198.1625,716.0,1.239,-5.060845308,36.23932187,85.0,72.0
14.19,1350.0,6.66135,-150.48,0.0,1512.0,1.202,-5.497652098,119.9964285,90.0,48.0
31.324,1960.0,6.5219,-40.92,24.89096667,498.0,1.091,-6.000831166,30.97281795,140.0,40.0
29.28432,4675.2,9.8272,-168.0,274.6272222,364.0,1.252,-4.786237938,70.27206921,120.0,72.0
29.3056,2672.0,8.4084,-51.96,0.0,146.0,2.052,-5.277299458,43.09725134,140.0,72.0
22.704,2700.0,8.1744,-300.96,0.0,424.0,1.216,-4.910518797,139.30721,130.0,28.0
20.658,2415.0,7.392,-116.4,0.0,418.0,1.202,-4.914014108,122.0234864,80.0,48.0
22.952,1643.333333,8.0592,-110.08,0.0,540.6666667,0.901,-4.85038989,91.06668531,25.0,240.0
25.1808,5544.0,7.7154,-85.2,284.16,420.0,1.95,-4.837495335,116.9985647,120.0,96.0
29.3776,1733.333333,4.891666667,-34.4,0.0,294.0,1.179,-4.510055576,25.27745865,180.0,48.0
27.72,2100.0,6.0522,-81.96,111.4933333,940.0,1.221,-4.266493781,116.1255634,100.0,120.0
29.31136,7680.0,12.56224,-149.68,176.2022222,478.2222222,1.198,-4.445272256,72.52121608,100.0,120.0
33.48906667,2196.0,7.2912,-79.52,35.1186,632.0,1.198,-4.881801432,46.11070375,110.0,96.0
27.716,2400.0,6.8376,-158.88,207.99,499.0,1.22,-4.58887547,23.79832342,90.0,72.0
23.104,3190.0,8.28,-85.92,193.14,468.0,0.798,-5.096402728,178.3003574,85.0,48.0
26.144,2291.0,8.3559,-111.56,223.5266667,316.0,0.95,-5.183201437,40.23725227,160.0,96.0
23.16914286,2195.714286,6.452485714,-209.8,0.0,464.5714286,0.91,-5.278464718,185.0987283,105.0,12.0
26.144,1624.0,4.2504,-70.08,179.67,4310.0,0.905,-4.830205109,153.8605496,80.0,18.0
32.336,2160.0,7.056,-81.6,87.98,294.0,1.175,-5.097195656,21.89932092,160.0,72.0
22.2404,2688.0,6.2678,-42.54,60.87428571,704.5714286,1.202,-4.559221541,35.34115184,120.0,72.0
19.73184,6491.2,6.87728,-192.16,687.018,262.0,1.213,-5.48928881,134.661121,180.0,48.0
34.6724,6116.0,11.56196667,-143.96,3.51125,298.25,1.882,-5.246302064,44.22293005,85.0,48.0
24.88266667,1633.333333,4.994733333,-161.84,87.98,332.0,1.32,-5.045772932,72.73070436,100.0,72.0
26.144,1624.0,4.2504,-52.56,0.0,9900.0,0.904,-3.806296728,105.0167951,80.0,48.0
34.656,4756.0,12.48624,-126.36,95.21333333,56.0,0.874,-5.497167455,28.78271185,150.0,72.0
30.9608,3832.0,8.327466667,-182.76,10.35058824,324.7058824,1.236,-4.282277085,33.24528139,160.0,72.0
29.80928,1328.4,5.38272,-41.06,177.0533333,626.6666667,1.152,-5.17320176,34.45988852,140.0,72.0
25.542,2250.0,4.752025,-186.48,91.49125,913.0,1.25,-4.52756976,100.4273388,105.0,72.0
19.206,1830.0,7.26395,-48.94,140.56,352.0,1.224,-4.911782378,71.63878201,80.0,48.0
20.77333333,1353.333333,4.9588,-41.48,43.99,413.0,0.911,-4.656504753,59.2806444,180.0,12.0
22.704,2520.0,7.52464,-351.12,272.855,562.0,1.24,-5.327294555,198.2874961,85.0,16.0
25.327,1800.0,6.2133,-122.72,43.99,788.0,1.297,-4.553714536,54.30177991,85.0,72.0
24.624,2407.0,6.2652,-15.92,193.14,314.0,0.889,-4.916490214,83.6487166,90.0,72.0
26.144,1624.0,4.2504,-70.08,0.0,1472.0,0.906,-4.651241604,167.6308652,60.0,48.0
16.8625,1798.0,5.2716,-17.36,138.38,229.0,0.826,-5.218185766,12.55378709,160.0,72.0
22.704,1680.0,4.0348,-64.56,87.98,892.0,1.251,-4.528218517,102.9889475,90.0,72.0
33.024,4284.0,10.584,-136.48,0.0,256.0,1.956,-5.164618934,94.61286751,60.0,96.0
36.5472,2430.0,8.7318,-53.88,211.4966667,423.0,1.167,-4.646537718,24.51888616,150.0,96.0
36.29653333,2052.0,9.0552,-35.64,0.0,550.4,1.105,-4.306709323,68.03838726,180.0,144.0
21.3712,4355.8,7.71972,-179.68,27.676,150.8,0.828,-5.381367307,11.40489494,140.0,72.0
31.956,5248.0,9.3626,-82.6,250.86,522.0,1.488,-4.769515315,112.9278215,60.0,168.0
27.04,3360.0,9.1168,-215.04,35.192,404.8,1.219,-4.672281516,31.55711095,200.0,96.0
23.0688,2646.0,6.5604,-35.12,87.98,420.0,1.921,-4.900101921,202.1033698,105.0,96.0
27.90528,3571.2,6.76656,-142.84,398.285,780.0,1.244,-4.700725928,59.82788412,100.0,40.0
31.992,2950.0,11.57406667,-364.32,0.0,6.0,1.355,-5.268524859,40.50060288,120.0,72.0
49.4175,2640.0,8.7377,-64.6,0.0,4460.0,1.357,-4.45502337,147.2900444,70.0,72.0
23.2544,2544.0,6.179,-80.08,210.14,560.0,1.235,-5.277056917,207.888745,85.0,48.0
23.3232,4956.0,8.1312,-89.52,119.78,256.0,2.061,-5.243100809,94.61062055,160.0,72.0
21.5596,6069.0,9.31164,-100.84,0.0,418.0,1.631,-5.096003826,94.39445455,100.0,96.0
26.144,1624.0,4.2504,-105.12,0.0,1662.0,0.918,-5.134308082,126.3900389,85.0,48.0
22.704,2060.0,6.943,-168.44,305.762,256.0,1.23,-5.062668202,140.9829569,100.0,24.0
25.004,1812.5,7.7211,-165.12,43.99,109.0,0.93,-5.288685532,41.72999549,120.0,50.0
21.384,1680.0,6.0522,-44.72,43.99,370.0,1.214,-4.486571965,12.0394721,120.0,72.0
22.704,1680.0,4.0348,-86.08,87.98,826.0,1.235,-4.544454739,108.9237086,90.0,72.0
19.68,1910.0,11.77335,-447.36,37.70571429,699.1428571,1.517,-4.67979969,98.02829965,100.0,120.0
29.92711111,2977.333333,7.657466667,-167.72,154.512,314.0,0.925,-4.963842378,123.5465214,85.0,96.0
24.928,1461.6,5.95056,-76.88,0.0,158.0,0.907,-4.902683677,101.305682,120.0,72.0
25.81236364,2172.363636,9.702654545,-366.66,39.99090909,209.0909091,0.905,-5.005467294,155.3512942,60.0,72.0
32.98773333,1620.0,6.468,-26.6,141.2875,483.0,1.176,-5.061402729,41.45797924,120.0,144.0
25.278,3041.0,8.40935,-101.52,77.94666667,190.0,1.619,-5.123785047,36.86484884,100.0,72.0
25.828,5785.0,10.9956,-406.48,227.4133333,194.0,1.953,-4.786989881,56.89774373,110.0,48.0
25.509,4760.0,6.545,-72.24,0.0,522.0,1.555,-4.982958309,175.8311538,80.0,48.0
29.28,11325.6,17.05404,-907.8,961.8316667,578.0,2.033,-5.571489412,72.00715145,170.0,168.0
17.6016,1974.0,5.9136,-85.44,0.0,124.0,0.516,-5.337408365,145.3397636,160.0,72.0
31.16,1392.0,6.3756,-13.28,43.99,190.0,0.921,-4.094804994,4.969770979,180.0,72.0
21.9024,3648.0,7.5776,-63.92,28.09,182.0,1.212,-5.505793906,52.4920945,120.0,24.0
30.9608,1584.0,5.698,-46.64,100.344,526.4,1.224,-4.745275534,101.171321,100.0,72.0
34.8816,2592.0,6.8376,-90.88,25.13714286,28.0,1.254,-5.548686482,173.8838518,120.0,72.0
31.0976,4012.0,11.2288,-71.04,0.0,88.0,2.057,-4.951729151,49.56895765,150.0,120.0
29.068,2832.0,5.1282,-86.96,163.77,523.0,1.239,-5.094269943,43.45964864,160.0,72.0
28.2918,4488.0,6.4295,-33.72,55.74666667,505.3333333,1.755,-4.944786089,123.545322,95.0,24.0
22.044,1710.0,5.0435,-22.92,147.7266667,469.3333333,1.22,-4.477962864,31.61286703,150.0,43.0
41.32714667,8900.0,11.66016,-1306.0,372.22,520.0,1.868,-5.565309766,71.44966887,160.0,72.0
26.144,2165.333333,5.6672,-210.24,0.0,708.0,0.963,-4.43570804,171.1313105,65.0,48.0
26.144,1624.0,4.2504,-210.24,194.595,1158.0,0.912,-5.028242797,191.8779764,70.0,48.0
31.992,2433.333333,9.373233333,-126.28,199.715,636.0,1.32,-4.617070277,41.39403975,80.0,72.0
37.0184,4378.0,10.5198,-850.4,200.688,379.2,1.794,-5.951329068,92.53596165,120.0,72.0
25.384,2755.0,9.9636,-126.88,0.0,418.0,0.886,-4.913198979,127.3191355,180.0,312.0
37.9912,3648.0,13.468,-57.4,217.56,336.0,1.21,-6.414326124,46.55467309,160.0,72.0
22.374,1800.0,5.3972,-94.08,58.65333333,313.3333333,1.251,-4.591824505,82.19768327,95.0,72.0
32.98773333,2112.0,7.3892,-109.14,48.87777778,190.0,1.18,-4.49472111,86.12038596,100.0,24.0
28.2416,2969.6,11.25804,-145.34,29.32666667,136.0,0.911,-5.90126977,9.79753001,160.0,96.0
27.72,2100.0,6.0522,-54.64,194.595,516.0,1.213,-4.642965151,115.7787221,120.0,120.0
35.016,5632.0,8.0613,-88.0,305.62,916.0,1.412,-5.232634832,119.3137833,110.0,72.0
34.056,3420.0,10.6639,-31.44,0.0,798.0,1.626,-4.487327608,48.30564915,120.0,24.0
17.404,1082.666667,5.6672,-30.4,0.0,323.0,0.85,-5.042665729,152.5047755,165.0,96.0
18.92,1720.0,4.5064,-136.24,58.65333333,514.6666667,1.242,-4.981861452,45.96555081,120.0,72.0
48.9856,1176.0,4.3736,-24.64,0.0,484.0,2.0,-4.459113934,134.9457619,160.0,72.0
24.49,3672.0,5.082,-52.6,179.2866667,712.0,1.541,-5.661212931,42.03571818,95.0,72.0
26.80266667,1701.333333,6.7298,-74.79,29.32666667,340.8,0.926,-4.91864549,65.6258452,25.0,168.0
19.866,1470.0,3.53045,-37.66,87.98,560.0,1.228,-4.411785456,53.94317571,150.0,72.0
22.704,1748.571429,5.015428571,-78.9,646.7841667,190.0,1.249,-5.27673155,188.7831386,100.0,48.0
28.314,3220.0,5.236,-47.72,0.0,308.0,1.506,-5.810481614,64.72040912,170.0,36.0
29.99466667,2088.0,6.3756,-135.12,0.0,672.0,0.917,-5.041960071,206.7259309,85.0,72.0
27.72,2100.0,6.0522,-109.28,113.6714667,616.0,1.221,-4.197101134,13.22030702,100.0,60.0
18.3352,5629.333333,6.193933333,-210.08,729.9975,252.0,1.202,-5.611243586,134.6875707,160.0,48.0
21.384,2160.0,6.812,-177.12,104.8626667,339.6,1.216,-4.770592077,46.09232667,140.0,96.0
29.13386667,1474.666667,5.5902,-48.12,258.524,429.6,1.095,-5.013359469,44.09178699,180.0,72.0
33.5296,2976.0,7.9772,-46.24,101.8566667,754.0,1.226,-4.535401669,82.12468416,80.0,72.0
22.16666667,5316.666667,8.6204,-202.24,87.98,158.0,0.893,-5.477879326,21.28926859,140.0,72.0
22.044,2610.0,5.8033,-140.88,254.826,586.0,1.229,-4.580958387,80.28844255,120.0,40.0
29.7808,1284.0,5.07815,-47.6,157.675,1896.0,1.424,-4.813382648,57.61384383,100.0,72.0
36.7392,5096.0,9.4572,-157.44,239.56,478.0,2.012,-4.542485972,67.29862159,120.0,48.0
21.00685714,3017.142857,6.583685714,-84.26,35.192,146.8,1.205,-4.647885044,32.3369284,160.0,72.0
26.7168,2436.0,7.00064,-82.48,9.363333333,1165.5,1.242,-4.347994571,65.59921125,110.0,72.0
32.5584,1873.4,8.19168,-38.1,510.6,1528.0,0.826,-4.596939563,95.59532079,120.0,72.0
34.0656,1957.5,8.0703,-107.68,148.888,302.8,1.18,-4.802956645,16.34573962,140.0,96.0
26.74256,2860.8,6.95896,-113.18,204.1383333,942.0,1.247,-5.020723941,162.563696,90.0,72.0
36.11828,9322.8,11.39523,-1954.84,0.0,14.66666667,1.691,-6.592332119,83.47125132,120.0,120.0
15.136,1120.0,2.689866667,-21.52,168.8933333,2066.0,1.235,-4.18655379,25.77626347,100.0,72.0
39.4224,2912.0,6.655,-71.44,0.0,560.0,1.143,-4.811361142,99.19701485,140.0,72.0
23.2544,2688.0,4.5584,-250.56,876.88,600.0,1.217,-4.869370369,178.4861553,100.0,72.0
20.2788,720.0,6.2133,-232.72,113.685,687.0,1.476,-4.596798807,88.56157734,120.0,120.0
19.866,1590.0,5.24655,-123.72,87.98,1092.0,1.233,-4.621862027,125.2169636,65.0,24.0
32.5616,2905.2,8.70912,-367.08,21.995,294.0,1.167,-4.566535799,52.63103762,140.0,72.0
25.168,3720.0,6.6548,-36.48,0.0,166.0,1.203,-4.717858437,103.8511088,120.0,120.0
21.3568,2790.4,7.69052,-69.98,169.7216667,226.0,1.554,-5.584465772,40.05004036,100.0,72.0
30.08,1566.0,7.7616,-36.24,0.0,271.0,1.12,-5.2142432,227.3980373,160.0,120.0
25.1808,4224.0,6.3961,-32.84,156.125,213.0,1.74,-4.91860588,54.6995644,100.0,144.0
34.8384,2520.0,11.1804,-28.2,315.98,1476.0,1.059,-4.803550221,18.63612199,160.0,72.0
26.144,1624.0,4.2504,-105.12,191.33,700.0,0.902,-4.774277301,173.6997868,70.0,24.0
28.896,10336.0,14.8551,-370.4,0.0,10.28571429,1.819,-5.548520595,19.38122865,140.0,48.0
23.4688,2632.0,7.8848,-56.96,3031.5575,670.0,1.715,-4.156522416,14.64748339,175.0,72.0
16.368,1260.0,4.0348,-132.48,87.98,228.0,1.21,-4.885739395,125.8170983,140.0,120.0
48.9856,1176.0,4.3736,-9.24,0.0,332.0,1.912,-4.341191379,52.73227672,105.0,36.0
22.704,1680.0,4.0348,-64.56,0.0,1208.0,1.198,-4.819209137,218.8489959,85.0,48.0
34.8384,2240.0,11.132,-31.2,249.38,454.0,1.059,-5.057478046,54.92600719,120.0,48.0
25.37866667,2400.0,12.27833333,-111.52,193.14,2064.0,1.309,-5.183478985,189.2969782,75.0,48.0
26.144,1624.0,4.2504,-210.24,270.5933333,2190.0,0.907,-5.074684814,218.3096648,80.0,24.0
26.144,1624.0,4.2504,-105.12,0.0,294.0,0.909,-4.759071534,191.7232318,180.0,24.0
29.8592,6256.0,10.3455,-93.04,84.524,256.0,1.981,-5.320085385,55.83272609,140.0,24.0
38.53691429,8125.714286,9.817714286,-666.84,0.0,79.2,1.307,-6.251006174,101.4912047,160.0,72.0
39.144,5040.0,7.7616,-79.04,355.2,818.0,2.132,-5.160455337,28.43696959,120.0,72.0
23.8908,1252.5,3.655575,-174.12,0.0,600.0,1.476,-5.086649289,191.3279966,160.0,72.0
14.1728,1459.0,7.40285,-126.88,87.98,654.0,1.233,-5.025720484,22.24824142,120.0,48.0
28.63616,2527.2,7.31304,-56.3,115.1425,151.5,1.166,-4.722005935,59.4857392,150.0,60.0
30.8696,2682.0,7.6503,-420.88,0.0,256.0,1.187,-5.033662527,101.5625366,160.0,72.0
23.62815,4278.0,6.622,-71.22,223.7133333,560.0,2.092,-4.771396915,74.43435106,130.0,48.0
19.8,2025.0,6.0522,-105.48,174.08,566.6666667,1.211,-4.702979623,95.51632278,135.0,72.0
21.888,1764.0,8.32832,-111.6,0.0,96.0,1.174,-4.786684164,81.77614241,85.0,96.0
37.7182,5108.25,9.32585,-316.56,0.0,256.0,2.043,-4.702973048,79.35605035,220.0,72.0
27.72,2340.0,7.7683,-123.12,43.99,224.0,1.229,-4.693604999,73.2245465,100.0,48.0
24.624,1624.0,6.3756,-73.62,87.98,190.0,0.904,-4.248154527,29.79070516,25.0,336.0
18.92,1400.0,3.362333333,-53.8,87.98,522.0,1.203,-4.401160269,63.85968733,100.0,60.0
30.66186667,1642.666667,6.308133333,-59.2,0.0,1688.0,1.126,-4.420463336,88.08616604,120.0,72.0
29.5668,1400.0,5.1546,-64.32,87.98,1140.0,1.14,-4.627609095,38.74676772,180.0,40.0
22.704,2130.0,7.53905,-236.48,87.98,522.0,1.23,-4.766384636,47.82885385,130.0,72.0
22.344,2009.285714,5.997085714,-181.12,0.0,456.0,0.91,-5.335651413,183.2841041,85.0,12.0
23.2544,2688.0,4.5584,-31.32,131.8375,410.0,1.256,-5.105718837,179.9139598,100.0,72.0
28.38,1980.0,4.7422,-53.76,144.16,2212.0,1.245,-4.99258084,174.8313785,100.0,48.0
21.02986667,896.0,6.857333333,-332.1,0.0,256.0,1.469,-4.862380075,146.4769758,120.0,120.0
27.06,2100.0,7.0609,-110.96,147.425,338.0,1.224,-4.530360573,27.84218614,100.0,72.0
22.704,4860.0,17.9077,-1117.44,501.72,1050.0,1.132,-4.185918294,44.84744289,90.0,20.0
26.144,1856.0,8.0592,-61.8,0.0,256.0,0.923,-5.300688774,160.534807,100.0,18.0
22.704,2700.0,8.1744,-300.96,0.0,522.0,1.215,-4.899577756,125.163118,110.0,80.0
26.752,3458.25,10.7778,-142.44,343.36,364.0,0.916,-4.747404225,64.96518966,120.0,72.0
21.384,1680.0,6.0522,-44.72,212.0544444,536.0,1.211,-5.181175879,35.62331205,140.0,72.0
35.002,5070.0,10.3488,-42.76,0.0,435.2,1.858,-4.127060372,19.57645596,170.0,72.0
22.116,1392.0,6.0996,-350.88,193.14,580.0,0.935,-5.158445954,180.6809573,75.0,40.0
17.0194,2008.5,7.248625,-282.0,87.98,332.0,1.237,-5.441689915,48.59405652,160.0,60.0
24.768,5040.0,8.7808,-123.84,179.67,700.0,2.084,-4.749043561,121.5121361,80.0,72.0
22.044,1650.0,4.9911,-41.44,116.9488889,320.0,1.235,-4.888925766,100.5076821,160.0,120.0
21.3348,4170.666667,4.363333333,-61.04,225.6285714,2276.0,0.351,-5.289162794,47.0284844,180.0,168.0
28.62453333,2314.666667,6.784066667,-27.94,139.8333333,254.6666667,1.121,-5.189706309,63.97711679,160.0,96.0
36.29653333,2052.0,9.0552,-35.64,0.0,413.6,1.085,-4.42728519,67.33065613,160.0,12.0
24.3648,1566.0,5.8212,-37.6,281.6144444,748.0,1.152,-5.392721948,25.85914024,130.0,72.0
36.5472,1755.0,7.7616,-41.24,267.995,926.0,1.15,-4.373015343,12.83499057,120.0,120.0
21.285,2535.0,7.922225,-141.52,29.32666667,256.0,1.21,-4.755621432,89.47741664,110.0,72.0
21.06333333,7037.333333,20.07693333,-475.4,591.5415385,1732.0,2.052,-4.546874383,36.27314448,100.0,60.0
38.6672,2592.0,9.1168,-29.82,182.37,633.0,1.226,-4.646039554,85.44238584,100.0,24.0
32.61973333,7139.833333,13.99585,-386.58,43.99,224.0,1.654,-5.388313858,42.73329716,170.0,72.0
34.3408,6835.2,13.59232,-288.28,29.945,340.0,1.245,-5.069534919,30.00996043,160.0,72.0
36.5472,1660.5,7.2765,-35.76,397.38,722.0,1.159,-4.200453382,24.43088561,180.0,24.0
23.104,1624.0,8.5008,-45.6,186.085,596.0,0.85,-5.032523632,215.2373851,120.0,96.0
22.704,5460.0,7.7616,-181.92,239.56,190.0,1.956,-5.423169336,127.2794524,120.0,21.0
15.9866,2285.2,5.48688,-57.6,173.9822222,494.0,0.825,-5.158288356,29.38786732,150.0,72.0
21.384,2820.0,10.1394,-137.84,0.0,392.0,1.178,-4.979746476,158.4986926,130.0,72.0
26.0376,3572.0,12.5874,-291.0,43.99,978.0,1.532,-4.82544306,116.6630715,100.0,120.0
26.144,1624.0,4.2504,-52.56,224.87,1352.0,0.908,-4.772861749,166.892569,90.0,48.0
20.9776,886.0,4.448033333,-105.12,227.37,1896.0,1.211,-4.642682747,49.87187521,90.0,96.0
28.392,7728.0,15.9692,-192.3,209.1,312.0,1.213,-5.144548689,104.2742655,120.0,72.0
21.824,2080.0,8.0696,-71.84,308.47832,1443.0,1.654,-4.9380916,49.70753371,80.0,48.0
20.064,1740.0,8.0696,-25.16,338.92,460.0,1.175,-4.388752659,18.8381683,100.0,72.0
34.2056,6240.0,12.358,-101.96,0.0,684.0,1.222,-3.806752926,11.72745232,160.0,72.0
28.45568,2181.6,6.5268,-143.56,227.37,866.0,1.147,-4.585536412,30.52927971,160.0,72.0
29.293,4674.0,9.3626,-87.4,259.4933333,410.0,1.606,-5.199653467,139.5275625,105.0,24.0
29.068,2304.0,4.5584,-17.38,148.9028571,908.0,1.248,-4.855808888,92.03759328,85.0,72.0
17.028,1260.0,3.0261,-32.28,157.675,1346.0,1.213,-4.687812061,121.5140496,115.0,120.0
26.66,1750.0,5.3515,-57.8,180.9066667,866.0,1.312,-4.787005837,43.59917882,150.0,96.0
21.02986667,800.0,6.857333333,-97.92,0.0,424.0,1.48,-4.437646458,34.9017398,110.0,24.0
36.5472,1755.0,7.7616,-41.24,208.105,983.0,1.154,-4.63025737,66.53750718,160.0,72.0
22.704,2328.0,6.943,-161.24,43.99,484.0,1.225,-4.738000051,94.79648745,60.0,72.0
23.541,2088.0,6.0444,-118.72,0.0,228.0,0.909,-4.97510404,127.0370649,85.0,48.0
13.4848,126.0,4.8412,-48.36,194.5933333,994.0,0.56,-5.335858409,84.88189792,100.0,72.0
24.624,1740.0,6.3204,-32.92,230.1,1844.0,0.907,-4.756627053,125.9216041,100.0,48.0
24.3648,1512.0,5.8212,-33.68,43.99,698.0,1.111,-4.792680765,19.49929816,120.0,72.0
30.832,1350.0,5.8212,-125.44,207.99,499.0,1.155,-4.390555005,34.92264072,90.0,72.0
31.00586667,3584.0,6.077866667,-83.52,0.0,332.0,1.249,-4.646378012,45.84938715,100.0,72.0
34.2798,5880.0,9.7266,-103.88,1729.95,1124.0,2.158,-4.754610729,79.90096131,140.0,72.0
64.584,9936.0,38.78266667,-276.72,0.0,30.4,0.31,-5.117737939,45.69270041,150.0,24.0
25.384,1653.0,5.313,-35.84,230.1,426.0,0.912,-5.081863725,206.0719192,80.0,48.0
26.144,1624.0,4.2504,-105.12,0.0,978.0,0.906,-5.196258228,197.4758895,85.0,48.0
22.704,1680.0,4.0348,-43.04,227.37,904.0,1.235,-4.608946626,11.49228628,160.0,144.0
20.724,2070.0,7.0609,-54.24,142.5333333,212.0,1.196,-4.26432287,18.5566132,120.0,72.0
31.77316,3670.2,8.12638,-133.64,65.985,211.5,1.541,-5.283253146,62.61105111,100.0,36.0
22.704,2970.0,8.3971,-336.72,87.98,294.0,1.231,-5.086036289,108.5719387,65.0,48.0
27.72,2520.0,8.7377,-224.64,452.8425,304.5,1.214,-4.483553213,41.34493731,100.0,72.0
24.3648,1512.0,5.8212,-33.68,134.4433333,541.3333333,1.136,-4.512584444,35.60861077,105.0,72.0
29.14368,2275.2,8.57472,-162.48,0.0,136.0,1.74,-5.745809753,80.93633087,120.0,45.0
26.144,1624.0,4.2504,-210.24,0.0,1482.0,0.897,-4.894721501,183.7604276,90.0,24.0
27.4032,2740.8,7.13816,-300.96,141.6114286,436.5714286,1.997,-4.334586005,91.79730332,100.0,120.0
16.512,3528.0,5.1744,-57.44,0.0,762.0,1.645,-4.955013632,82.04459667,120.0,72.0
37.6752,2376.0,8.379,-117.32,127.2728571,418.2857143,1.185,-4.630218444,66.74236002,115.0,96.0
23.65573333,2853.333333,10.7701,-300.56,14.66333333,256.0,1.24,-4.620770649,80.34406923,150.0,96.0
31.9176,3536.0,5.082,-24.52,0.0,256.0,1.535,-4.473531488,17.7021473,140.0,24.0
30.4,2088.0,10.1292,-278.88,0.0,55.5,0.863,-4.998426365,93.79935488,200.0,48.0
48.9856,1176.0,4.3736,-12.32,876.88,190.0,1.996,-4.75855314,119.8351354,120.0,72.0
31.584,2106.0,8.3412,-99.04,87.98,925.0,1.165,-4.306364491,81.0204313,80.0,72.0
20.724,2070.0,7.0609,-54.24,142.5333333,212.0,1.195,-4.300826793,60.55401521,120.0,72.0
24.596,2360.0,6.794533333,-193.52,87.98,992.0,1.234,-4.732223029,148.0959189,90.0,24.0
25.22346667,2315.555556,8.430133333,-760.96,0.0,352.0,1.791,-4.982557614,90.81805987,170.0,96.0
26.4,2040.0,8.0696,-51.44,87.98,370.0,1.186,-4.925435874,70.61316965,110.0,72.0
26.144,2052.0,10.545,-123.76,282.14,1470.0,1.525,-4.321004796,6.647466255,140.0,12.0
35.72,2092.5,6.9048,-99.8,142.5333333,297.0,1.191,-4.401057462,9.624744029,100.0,48.0
29.358,3780.0,5.8212,-118.56,0.0,576.0,1.839,-4.990340931,153.5460586,85.0,17.0
26.488,4940.0,10.584,-81.6,119.78,1068.0,2.111,-4.998460985,98.50040461,80.0,48.0
20.812,2260.0,4.838266667,-91.4,290.2353846,844.0,1.231,-5.152025311,57.16781142,110.0,120.0
23.104,1856.0,8.5008,-23.04,288.6,820.0,0.839,-5.127776111,217.8387109,140.0,120.0
24.8092,2320.0,6.647666667,-109.18,51.32166667,412.5,1.22,-4.920442528,27.91080944,75.0,48.0
25.608,2570.0,8.2399,-214.76,35.192,404.8,1.226,-4.56480884,26.50662638,120.0,96.0
39.9594,3462.75,10.0926,-359.52,148.91375,586.5,1.231,-5.080377549,184.6221611,120.0,120.0
18.5856,2424.0,6.41376,-107.92,119.4566667,168.6666667,1.196,-4.952238528,150.8765054,120.0,336.0
34.2912,2592.0,11.6424,-35.52,288.6,820.0,1.113,-4.667046752,124.2673238,130.0,72.0
27.716,5616.0,6.988066667,-247.28,0.0,170.3529412,1.221,-4.832582228,135.9859444,100.0,24.0
32.336,2754.0,8.0262,-69.56,227.37,658.0,1.151,-5.010147223,31.54320337,150.0,72.0
22.9164,2016.0,5.0838,-126.32,130.472,407.2,1.233,-4.894013204,155.3484585,140.0,48.0
31.8048,2662.5,9.7179,-105.32,43.99,275.0,1.218,-5.219126312,34.35338575,140.0,48.0
25.09173333,1278.0,3.906,-92.76,87.98,720.0,1.15,-5.100302036,89.10783258,100.0,48.0
